AUTHOR,BORN_DIED,TITLE,DATE,TECHNIQUE,LOCATION,URL,FORM,STYLE,SCHOOL,TIMEFRAME
"AACHEN, Hans von","(b. 1552, Köln, d. 1615, Praha)",Portrait of Emperor Rudolf II,1590s,"Oil on canvas, 60 x 48 cm","Kunsthistorisches Museum, Vienna",http://www.wga.hu/html/a/aachen/rudolf2.html,painting,portrait,German,1601-1650
"AACHEN, Hans von","(b. 1552, Köln, d. 1615, Praha)",Self-Portrait with a Glass of Wine,c. 1596,"Oil on canvas, 53 x 44 cm",Private collection,http://www.wga.hu/html/a/aachen/selfport.html,painting,portrait,German,1601-1650
"ABBATI, Giuseppe","(b. 1836, Napoli, d. 1868, Firenze)",Portrait of a Woman,1865-66,"Oil on panel, 26 x 14 cm","Galleria dell'Arte Moderna, Palazzo Pitti, Florence",http://www.wga.hu/html/a/abbati/abbati4.html,painting,portrait,Italian,1851-1900
"ABONDIO, Antonio","(b. 1538, Riva del Garda, d. 1591, Wien)",Medallion Portrait of Emperor Maximilian II,c. 1575,Wax on obsidian,"Kunsthistorisches Museum, Vienna",http://www.wga.hu/html/a/abondio/maximili.html,sculpture,portrait,Italian,1551-1600
"ADAM, Lambert-Sigisbert","(b. 1700, Nancy, d. 1759, Nancy)",Self-portrait,c. 1740,Drawing,"Ashmolean Museum, Oxford",http://www.wga.hu/html/a/adam/lambert/selfport.html,graphics,portrait,French,1701-1750
"ADLER, Salomon","(b. 1630, Danzig, d. 1709, Milano)",Self-Portrait,1650s,"Oil on canvas, 74 x 60 cm",Private collection,http://www.wga.hu/html/a/adler/selfport.html,painting,portrait,German,1651-1700
"AKEN, Joseph van","(b. ca. 1699, Antwerpen, d. 1749, London)",The Van Aken Brothers,-,"Oil on canvas, 89 x 125 cm",Private collection,http://www.wga.hu/html/a/aken/brothers.html,painting,portrait,Flemish,1701-1750
"ALBERTI, Leon Battista","(b. 1404, Genova, d. 1472, Roma)",Self-Portrait,c. 1435,"Bronze, height 20 cm","National Gallery of Art, Washington",http://www.wga.hu/html/a/alberti/selfport.html,sculpture,portrait,Italian,1401-1450
"ALCIBAR, José de","(b. 1725/30, Mexico, d. 1803, Mexico)",Portrait of María Anna Josefa Taking Vow,1793,"Oil on canvas, 103,5 x 83,5 cm","Szépm?vészeti Múzeum, Budapest",http://www.wga.hu/html/a/alcibar/v_josefa.html,painting,portrait,Other,1751-1800
"ALENZA Y NIETO, Leonardo","(b. 1807, Madrid, d. 1845, Madrid)",Portrait of an Architect,1825-30,"Oil on canvas, 79 x 67 cm",Private collection,http://www.wga.hu/html/a/alenza/portrait.html,painting,portrait,Spanish,1801-1850
"ALGARDI, Alessandro","(b. 1598, Bologna, d. 1654, Roma)",Bust of Bishop Ulpiano Volpi,1640s,"Bronze, height 58 cm","Museo Poldi Pezzoli, Milan",http://www.wga.hu/html/a/algardi/1/b_volpi.html,sculpture,portrait,Italian,1601-1650
